Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status 
Curve_Square_Negra,Curve Square Negra,"Camiseta urbana oversized x2 (aumenta dos tallas), 100% algodón peruano premium de alto gramaje con logo en alta densidad y banderín lateral. espalda dividida y alargada con terminación recta, cintura  en el frente con terminación curva y manga ancha.",Ribotshop,"Camiseta","Camiseta, Camiseta Urbana, Oversized, Unisex, Curve Square, Negro, Talla S",true,Talla,S,COLOR,NEGRO,,,CA-UR01S-NE,176.0,shopify,3.0,deny,manual,74900.0,,true,true,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-negra-1.jpg,1,,false,,"",,,,,,,,,,,,,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-negra-1.jpg,kg,,,active
Curve_Square_Negra,,"",,"","",,,M,,NEGRO,,,CA-UR01M-NE,190.0,shopify,11.0,deny,manual,74900.0,,true,true,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-negra-2.jpg,2,,false,,"",,,,,,,,,,,,,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-negra-2.jpg,kg,,,active
Curve_Square_Negra,,"",,"","",,,L,,NEGRO,,,CA-UR01L-NE,200.0,shopify,9.0,deny,manual,74900.0,,true,true,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-negra-3.jpg,3,,false,,"",,,,,,,,,,,,,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-negra-3.jpg,kg,,,active
Curve_Square_Negra,,"",,"","",,,XL,,NEGRO,,,CA-UR01XL-NE,215.0,shopify,2.0,deny,manual,74900.0,,true,true,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-negra-4.jpg,4,,false,,"",,,,,,,,,,,,,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-negra-4.jpg,kg,,,active
Curve_Square_Verde_Militar,Curve Square Verde Militar,"Camiseta urbana oversized x2 (aumenta dos tallas), 100% algodón peruano premium de alto gramaje con logo en alta densidad y banderín lateral. espalda dividida y alargada con terminación recta, cintura  en el frente con terminación curva y manga ancha.",Ribotshop,"Camiseta","Camiseta, Camiseta Urbana, Oversized, Unisex, Curve Square, Verde Militar, Talla S",true,Talla,S,COLOR,VERDE MILITAR,,,CA-UR01S-VM,176.0,shopify,2.0,deny,manual,74900.0,,true,true,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-verdemilitar-1.jpg,1,,false,,"",,,,,,,,,,,,,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-verdemilitar-1.jpg,kg,,,active
Curve_Square_Verde_Militar,,"",,"","",,,M,,VERDE MILITAR,,,CA-UR01M-VM,190.0,shopify,9.0,deny,manual,74900.0,,true,true,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-verdemilitar-2.jpg,2,,false,,"",,,,,,,,,,,,,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-verdemilitar-2.jpg,kg,,,active
Curve_Square_Verde_Militar,,"",,"","",,,L,,VERDE MILITAR,,,CA-UR01L-VM,200.0,shopify,8.0,deny,manual,74900.0,,true,true,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-verdemilitar-3.jpg,3,,false,,"",,,,,,,,,,,,,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-verdemilitar-3.jpg,kg,,,active
Curve_Square_Verde_Militar,,"",,"","",,,XL,,VERDE MILITAR,,,CA-UR01XL-VM,215.0,shopify,4.0,deny,manual,74900.0,,true,true,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-verdemilitar-4.jpg,4,,false,,"",,,,,,,,,,,,,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-verdemilitar-4.jpg,kg,,,active
Curve_Square_Blanca,Curve Square Blanca,"Camiseta urbana oversized x2 (aumenta dos tallas), 100% algodón peruano premium de alto gramaje con logo en alta densidad y banderín lateral. espalda dividida y alargada con terminación recta, cintura  en el frente con terminación curva y manga ancha.",Ribotshop,"Camiseta","Camiseta, Camiseta Urbana, Oversized, Unisex, Curve Square, Blanco, Talla S",true,Talla,S,COLOR,BLANCO,,,CA-UR01S-BL,172.0,shopify,3.0,deny,manual,74900.0,,true,true,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-blanca-1.jpg,1,,false,,"",,,,,,,,,,,,,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-blanca-1.jpg,kg,,,active
Curve_Square_Blanca,,"",,"","",,,M,,BLANCO,,,CA-UR01M-BL,180.0,shopify,10.0,deny,manual,74900.0,,true,true,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-blanca-2.jpg,2,,false,,"",,,,,,,,,,,,,,https://losdemarketing.com/ribotshop/camiseta-curvesquare-blanca-2.jpg,kg,,,active
